metric,framework,model,date,mean,lo80,hi80,lo95,hi95,validation_rmse,is_best
github-stars,React,ARIMA,2026-03-01,963.5016379399804,554.3523627865414,1674.0867952036904,413.63019631566254,2242.597832128669,221.3149689564455,FALSE
github-stars,React,ARIMA,2026-04-01,966.5645503884523,544.8633092941849,1714.0468683797671,402.1671207263382,2321.0672297924534,221.3149689564455,FALSE
github-stars,React,ARIMA,2026-05-01,968.2268111173312,535.4409912397219,1750.172312946675,391.21615511501716,2394.109429169719,221.3149689564455,FALSE
github-stars,React,ARIMA,2026-06-01,969.1279196460197,526.2393339006503,1784.0492555512901,380.78593689768854,2464.1200830609014,221.3149689564455,FALSE
github-stars,React,ARIMA,2026-07-01,969.6161126969762,517.3297627937862,1816.5603753662804,370.864232728951,2532.4397753539142,221.3149689564455,FALSE
github-stars,React,ARIMA,2026-08-01,969.8805139117555,508.7382568004264,1848.2019378930122,361.4267411119583,2599.826223256993,221.3149689564455,FALSE
github-stars,React,ARIMA,2026-09-01,970.0236859060026,500.46698347503474,1879.257384158214,352.44378534433014,2666.7141816821163,221.3149689564455,FALSE
github-stars,React,ARIMA,2026-10-01,970.1012053936807,492.50634517740167,1909.8924542359516,343.884356272485,2733.3587320382494,221.3149689564455,FALSE
github-stars,React,ARIMA,2026-11-01,970.143175597547,484.8414807620508,1940.2073790619716,335.71827482872595,2799.9144083118504,221.3149689564455,FALSE
github-stars,React,ARIMA,2026-12-01,970.1658982491524,477.4556756404859,1970.265573680394,327.9172154724511,2866.478981199994,221.3149689564455,FALSE
github-stars,React,ARIMA,2027-01-01,970.1782000957336,470.3320862076353,2000.1094596383741,320.4550931469053,2933.117755322518,221.3149689564455,FALSE
github-stars,React,ARIMA,2027-02-01,970.1848601537415,463.45456172195935,2029.7692298143015,313.30811672233995,2999.8771088309672,221.3149689564455,FALSE
github-stars,React,ARIMA,2027-03-01,970.1884658054445,456.807992240121,2059.2677369136436,306.4546807571488,3066.792084969264,221.3149689564455,FALSE
github-stars,React,ARIMA,2027-04-01,970.1904178444018,450.3784141377562,2088.6232477455715,299.87518887150475,3133.8906875654757,221.3149689564455,FALSE
github-stars,React,ARIMA,2027-05-01,970.1914746439506,444.1529967362073,2117.8510182714303,293.55185723886495,3201.196344177857,221.3149689564455,FALSE
github-stars,React,ARIMA,2027-06-01,970.1920467762274,438.119974956973,2146.964213684013,287.4685219968476,3268.729345830341,221.3149689564455,FALSE
github-stars,React,ARIMA,2027-07-01,970.1923565182368,432.26856142076804,2175.974461905268,281.610461150465,3336.5077112140866,221.3149689564455,FALSE
github-stars,React,ARIMA,2027-08-01,970.1925242068925,426.5888546341629,2204.8921996045774,275.964234691479,3404.5477239725133,221.3149689564455,FALSE
github-stars,React,ARIMA,2027-09-01,970.1926149904517,421.07175108616985,2233.7268988855535,270.51754327544865,3472.864281598628,221.3149689564455,FALSE
github-stars,React,ETS,2025-10-01,809.3007830025043,571.5367384222108,1145.803890251456,475.37828038861767,1377.289871651671,183.1938697072839,TRUE
github-stars,React,ETS,2025-11-01,809.3007830025043,523.1906044564709,1251.5736885636895,415.25125067592955,1576.3823090459725,183.1938697072839,TRUE
github-stars,React,ETS,2025-12-01,809.3007830025043,486.2173951943003,1346.6270868215354,371.1970815013049,1763.0851891853688,183.1938697072839,TRUE
github-stars,React,ETS,2026-01-01,809.3007830025043,456.0691017990056,1435.5166149935976,336.5568181065848,1944.1165662047206,183.1938697072839,TRUE
